index,name,mass,px,py,vx,vy,total_fx,total_fy
  7783 (1994 JD),  7783 (1994 JD),4.94889E+16,-2.87644E+11,-31544210171,2334.548171,21288.14154,0,0
  7829 Jaroff (1992 WY4),  7829 Jaroff (1992 WY4),5.92E+16,2.2795E+11,1.82507E+11,-13324.21725,-16641.84313,0,0
  7944 (1991 PR12),  7944 (1991 PR12),2.70844E+17,3.01385E+11,3.73333E+11,-12940.81451,-10446.89215,0,0
  7958 Leakey (1994 LE3),  7958 Leakey (1994 LE3),6.53556E+16,42236842499,-2.77653E+11,21490.98215,-3269.231094,0,0
  8024 Robertwhite (1991 FN),  8024 Robertwhite (1991 FN),3.76444E+16,2.93131E+11,25746516640,-1858.152744,-21155.57234,0,0
  8026 Johnmckay (1991 JA1),  8026 Johnmckay (1991 JA1),3.75556E+16,2.84355E+11,-45518061285,3393.200552,-21197.62018,0,0
  8030 Williamknight (1991 SK),  8030 Williamknight (1991 SK),4.57311E+17,-3.47774E+11,3.35824E+11,-11509.12546,11918.66092,0,0
  8075 Roero (1985 PE),  8075 Roero (1985 PE),2.81489E+17,1.66599E+11,-4.48909E+11,15608.11226,-5792.459247,0,0
  8076 Foscarini (1985 RV4),  8076 Foscarini (1985 RV4),2.96511E+17,-2.11577E+11,4.30144E+11,-14930.56956,7343.977947,0,0
  8086 Peterthomas (1989 RB6),  8086 Peterthomas (1989 RB6),5.69533E+17,-4.71335E+11,-3.58279E+11,9060.354759,11919.37912,0,0
  8130 Seeberg (1976 DJ1),  8130 Seeberg (1976 DJ1),5.24822E+17,5.43911E+11,2.47621E+11,-6174.525042,-13562.63169,0,0
  8227 (1996 VD4),  8227 (1996 VD4),2.77467E+17,2.57778E+11,4.05023E+11,-14026.36536,-8927.105109,0,0
  8247 Cherylhall (1979 SP14),  8247 Cherylhall (1979 SP14),3.26311E+17,1.00456E+11,4.71133E+11,-16233.24147,-3461.280735,0,0
  8322 Kononovich (1978 RL1),  8322 Kononovich (1978 RL1),2.58E+17,4.82635E+11,-12842892284,441.0249289,-16573.68083,0,0
  8348 Bhattacharyya (1988 BX),  8348 Bhattacharyya (1988 BX),1.84067E+17,-1.46922E+11,2.37969E+11,-18535.7358,11444.01024,0,0
